Statistic,Month,NACE.Group,value
Retail Sales Index Value Adjusted,2025 June,"Retail sale of books, newspapers and stationery (4761,4762)",142.3
Retail Sales Index Value Adjusted,2025 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",114.8
Retail Sales Index Value Adjusted,2025 July,Motor trades (45),139.9
Retail Sales Index Value Adjusted,2025 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",117.0
Retail Sales Index Value Adjusted,2025 July,Department stores (4719),114.9
Retail Sales Index Value Adjusted,2025 July,Retail sale of automotive fuel (4730),125.6
Retail Sales Index Value Adjusted,2025 July,"Retail sale of hardware, paints and glass (4752)",107.5
Retail Sales Index Value Adjusted,2025 July,Retail sale of furniture and lighting (4759),123.5
Retail Sales Index Value Adjusted,2025 July,Bars (5630),221.9
Retail Sales Index Value Adjusted,2025 July,All retail businesses,128.1
Retail Sales Index Value Adjusted,2025 July,"Motor trades and automotive fuel (45,4730)",137.2
Retail Sales Index Value Adjusted,2025 July,"All retail businesses, excluding motor trades and bars",119.9
Retail Sales Index Value Adjusted,2025 July,"All retail businesses, excluding motor trades",124.8
Retail Sales Index Value Adjusted,2025 July,"All retail businesses, excluding motor trades, automotive fuel and bars",120.0
Retail Sales Index Value Adjusted,2025 July,"Retail sale of food (4711,4721 to 4729)",115.5
Retail Sales Index Value Adjusted,2025 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",121.8
Retail Sales Index Value Adjusted,2025 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",101.1
Retail Sales Index Value Adjusted,2025 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",110.6
Retail Sales Index Value Adjusted,2025 July,"Retail sale of electrical goods (4741 to 4743,4754)",101.9
Retail Sales Index Value Adjusted,2025 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",134.9
Retail Sales Index Value Adjusted,2025 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",128.4
Retail Sales Index Value Adjusted,2025 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",128.6
Retail Sales Index Value Adjusted,2025 July,"Retail sale of books, newspapers and stationery (4761,4762)",136.8
Retail Sales Index Value Adjusted,2025 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",115.7
Retail Sales Index Value Adjusted,2025 August,Motor trades (45),138.3
Retail Sales Index Value Adjusted,2025 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",118.1
Retail Sales Index Value Adjusted,2025 August,Department stores (4719),113.8
Retail Sales Index Value Adjusted,2025 August,Retail sale of automotive fuel (4730),123.7
Retail Sales Index Value Adjusted,2025 August,"Retail sale of hardware, paints and glass (4752)",109.1
Retail Sales Index Value Adjusted,2025 August,Retail sale of furniture and lighting (4759),119.9
Retail Sales Index Value Adjusted,2025 August,Bars (5630),230.8
Retail Sales Index Value Adjusted,2025 August,All retail businesses,127.6
Retail Sales Index Value Adjusted,2025 August,"Motor trades and automotive fuel (45,4730)",135.4
Retail Sales Index Value Adjusted,2025 August,"All retail businesses, excluding motor trades and bars",119.9
Retail Sales Index Value Adjusted,2025 August,"All retail businesses, excluding motor trades",124.5
Retail Sales Index Value Adjusted,2025 August,"All retail businesses, excluding motor trades, automotive fuel and bars",119.7
Retail Sales Index Value Adjusted,2025 August,"Retail sale of food (4711,4721 to 4729)",116.4
Retail Sales Index Value Adjusted,2025 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",121.1
Retail Sales Index Value Adjusted,2025 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",99.8
Retail Sales Index Value Adjusted,2025 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",108.8
Retail Sales Index Value Adjusted,2025 August,"Retail sale of electrical goods (4741 to 4743,4754)",102.5
Retail Sales Index Value Adjusted,2025 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",134.0
Retail Sales Index Value Adjusted,2025 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",128.8
Retail Sales Index Value Adjusted,2025 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",129.0
Retail Sales Index Value Adjusted,2025 August,"Retail sale of books, newspapers and stationery (4761,4762)",136.6
Retail Sales Index Value Adjusted,2025 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",115.5
Retail Sales Index Value Adjusted,2025 September,Motor trades (45),137.2
Retail Sales Index Value Adjusted,2025 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",117.6
Retail Sales Index Value Adjusted,2025 September,Department stores (4719),124.5
Retail Sales Index Value Adjusted,2025 September,Retail sale of automotive fuel (4730),122.8
Retail Sales Index Value Adjusted,2025 September,"Retail sale of hardware, paints and glass (4752)",110.3
Retail Sales Index Value Adjusted,2025 September,Retail sale of furniture and lighting (4759),119.6
Retail Sales Index Value Adjusted,2025 September,Bars (5630),223.4
Retail Sales Index Value Adjusted,2025 September,All retail businesses,127.8
Retail Sales Index Value Adjusted,2025 September,"Motor trades and automotive fuel (45,4730)",134.7
Retail Sales Index Value Adjusted,2025 September,"All retail businesses, excluding motor trades and bars",120.8
Retail Sales Index Value Adjusted,2025 September,"All retail businesses, excluding motor trades",125.0
Retail Sales Index Value Adjusted,2025 September,"All retail businesses, excluding motor trades, automotive fuel and bars",120.7
Retail Sales Index Value Adjusted,2025 September,"Retail sale of food (4711,4721 to 4729)",115.7
Retail Sales Index Value Adjusted,2025 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",125.7
Retail Sales Index Value Adjusted,2025 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",100.5
Retail Sales Index Value Adjusted,2025 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",110.8
Retail Sales Index Value Adjusted,2025 September,"Retail sale of electrical goods (4741 to 4743,4754)",104.9
Retail Sales Index Value Adjusted,2025 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",137.5
Retail Sales Index Value Adjusted,2025 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",128.8
Retail Sales Index Value Adjusted,2025 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",128.9
Retail Sales Index Value Adjusted,2025 September,"Retail sale of books, newspapers and stationery (4761,4762)",138.3
Retail Sales Index Value Adjusted,2025 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",115.4
Retail Sales Index Value Adjusted,2025 October,Motor trades (45),135.6
Retail Sales Index Value Adjusted,2025 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",118.5
Retail Sales Index Value Adjusted,2025 October,Department stores (4719),120.7
Retail Sales Index Value Adjusted,2025 October,Retail sale of automotive fuel (4730),126.5
Retail Sales Index Value Adjusted,2025 October,"Retail sale of hardware, paints and glass (4752)",106.0
Retail Sales Index Value Adjusted,2025 October,Retail sale of furniture and lighting (4759),118.9
Retail Sales Index Value Adjusted,2025 October,Bars (5630),217.9
Retail Sales Index Value Adjusted,2025 October,All retail businesses,127.0
Retail Sales Index Value Adjusted,2025 October,"Motor trades and automotive fuel (45,4730)",132.8
Retail Sales Index Value Adjusted,2025 October,"All retail businesses, excluding motor trades and bars",120.6
Retail Sales Index Value Adjusted,2025 October,"All retail businesses, excluding motor trades",124.8
Retail Sales Index Value Adjusted,2025 October,"All retail businesses, excluding motor trades, automotive fuel and bars",120.3
Retail Sales Index Value Adjusted,2025 October,"Retail sale of food (4711,4721 to 4729)",116.5
Retail Sales Index Value Adjusted,2025 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",121.0
Retail Sales Index Value Adjusted,2025 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",102.1
Retail Sales Index Value Adjusted,2025 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",108.3
Retail Sales Index Value Adjusted,2025 October,"Retail sale of electrical goods (4741 to 4743,4754)",104.4
Retail Sales Index Value Adjusted,2025 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",135.2
Retail Sales Index Value Adjusted,2025 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",127.7
Retail Sales Index Value Adjusted,2025 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",128.6
Retail Sales Index Value Adjusted,2025 October,"Retail sale of books, newspapers and stationery (4761,4762)",141.4
Retail Sales Index Value Adjusted,2025 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",115.9
Retail Sales Index Value Adjusted,2025 November,Motor trades (45),137.9
Retail Sales Index Value Adjusted,2025 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",120.0
Retail Sales Index Value Adjusted,2025 November,Department stores (4719),120.9
Retail Sales Index Value Adjusted,2025 November,Retail sale of automotive fuel (4730),128.4
Retail Sales Index Value Adjusted,2025 November,"Retail sale of hardware, paints and glass (4752)",105.8
Retail Sales Index Value Adjusted,2025 November,Retail sale of furniture and lighting (4759),115.8
Retail Sales Index Value Adjusted,2025 November,Bars (5630),228.6
Retail Sales Index Value Adjusted,2025 November,All retail businesses,127.5
Retail Sales Index Value Adjusted,2025 November,"Motor trades and automotive fuel (45,4730)",134.8
Retail Sales Index Value Adjusted,2025 November,"All retail businesses, excluding motor trades and bars",120.8
Retail Sales Index Value Adjusted,2025 November,"All retail businesses, excluding motor trades",125.0
Retail Sales Index Value Adjusted,2025 November,"All retail businesses, excluding motor trades, automotive fuel and bars",120.4
Retail Sales Index Value Adjusted,2025 November,"Retail sale of food (4711,4721 to 4729)",117.7
Retail Sales Index Value Adjusted,2025 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",121.6
Retail Sales Index Value Adjusted,2025 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",101.4
Retail Sales Index Value Adjusted,2025 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",106.5
Retail Sales Index Value Adjusted,2025 November,"Retail sale of electrical goods (4741 to 4743,4754)",103.6
Retail Sales Index Value Adjusted,2025 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",133.8
Retail Sales Index Value Adjusted,2025 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",127.9
Retail Sales Index Value Adjusted,2025 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",126.2
Retail Sales Index Value Adjusted,2025 November,"Retail sale of books, newspapers and stationery (4761,4762)",139.1
Retail Sales Index Value Adjusted,2025 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",116.2
Retail Sales Index Value Adjusted,2025 December,Motor trades (45),137.8
Retail Sales Index Value Adjusted,2025 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",119.9
Retail Sales Index Value Adjusted,2025 December,Department stores (4719),122.3
Retail Sales Index Value Adjusted,2025 December,Retail sale of automotive fuel (4730),126.0
Retail Sales Index Value Adjusted,2025 December,"Retail sale of hardware, paints and glass (4752)",103.4
Retail Sales Index Value Adjusted,2025 December,Retail sale of furniture and lighting (4759),116.8
Retail Sales Index Value Adjusted,2025 December,Bars (5630),230.4
Retail Sales Index Value Adjusted,2025 December,All retail businesses,127.1
Retail Sales Index Value Adjusted,2025 December,"Motor trades and automotive fuel (45,4730)",134.8
Retail Sales Index Value Adjusted,2025 December,"All retail businesses, excluding motor trades and bars",120.6
Retail Sales Index Value Adjusted,2025 December,"All retail businesses, excluding motor trades",125.0
Retail Sales Index Value Adjusted,2025 December,"All retail businesses, excluding motor trades, automotive fuel and bars",120.1
Retail Sales Index Value Adjusted,2025 December,"Retail sale of food (4711,4721 to 4729)",118.9
Retail Sales Index Value Adjusted,2025 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",121.0
Retail Sales Index Value Adjusted,2025 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",103.0
Retail Sales Index Value Adjusted,2025 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",107.9
Retail Sales Index Value Adjusted,2025 December,"Retail sale of electrical goods (4741 to 4743,4754)",105.1
Retail Sales Index Value Adjusted,2025 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",135.9
Retail Sales Index Value Adjusted,2025 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",126.3
Retail Sales Index Value Adjusted,2025 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",125.5
Retail Sales Index Value Adjusted,2025 December,"Retail sale of books, newspapers and stationery (4761,4762)",130.3
Retail Sales Index Value Adjusted,2025 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",114.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,Motor trades (45),
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,Department stores (4719),
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,Retail sale of automotive fuel (4730),
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of hardware, paints and glass (4752)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,Retail sale of furniture and lighting (4759),
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,Bars (5630),
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,All retail businesses,
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Motor trades and automotive fuel (45,4730)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"All retail businesses, excluding motor trades and bars",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"All retail businesses, excluding motor trades",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"All retail businesses, excluding motor trades, automotive fuel and bars",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of food (4711,4721 to 4729)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of electrical goods (4741 to 4743,4754)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of books, newspapers and stationery (4761,4762)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,Motor trades (45),32.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,Department stores (4719),24.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,Retail sale of automotive fuel (4730),8.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of hardware, paints and glass (4752)",17.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,Retail sale of furniture and lighting (4759),9.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,Bars (5630),-35.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,All retail businesses,13.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Motor trades and automotive fuel (45,4730)",30.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"All retail businesses, excluding motor trades and bars",5.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"All retail businesses, excluding motor trades",1.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"All retail businesses, excluding motor trades, automotive fuel and bars",4.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of food (4711,4721 to 4729)",-2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",13.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",-10.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",12.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of electrical goods (4741 to 4743,4754)",14.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-0.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",18.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",21.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of books, newspapers and stationery (4761,4762)",11.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",9.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,Motor trades (45),0.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,Department stores (4719),-4.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,Retail sale of automotive fuel (4730),13.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of hardware, paints and glass (4752)",18.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,Retail sale of furniture and lighting (4759),38.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,Bars (5630),-1.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,All retail businesses,0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Motor trades and automotive fuel (45,4730)",1.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"All retail businesses, excluding motor trades and bars",2.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"All retail businesses, excluding motor trades",2.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"All retail businesses, excluding motor trades, automotive fuel and bars",1.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of food (4711,4721 to 4729)",-1.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",1.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",4.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",19.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of electrical goods (4741 to 4743,4754)",-7.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",3.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",-2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",4.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of books, newspapers and stationery (4761,4762)",3.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",-1.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,Motor trades (45),-7.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,Department stores (4719),-33.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,Retail sale of automotive fuel (4730),3.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of hardware, paints and glass (4752)",0.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,Retail sale of furniture and lighting (4759),4.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,Bars (5630),32.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,All retail businesses,-1.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Motor trades and automotive fuel (45,4730)",-6.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"All retail businesses, excluding motor trades and bars",-1.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"All retail businesses, excluding motor trades",0.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"All retail businesses, excluding motor trades, automotive fuel and bars",-1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of food (4711,4721 to 4729)",0.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",-3.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-0.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of electrical goods (4741 to 4743,4754)",-7.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",-3.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",15.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",3.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of books, newspapers and stationery (4761,4762)",4.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",-5.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,Motor trades (45),19.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-1.4
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,Department stores (4719),97.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,Retail sale of automotive fuel (4730),8.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of hardware, paints and glass (4752)",-22.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,Retail sale of furniture and lighting (4759),27.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,Bars (5630),-24.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,All retail businesses,14.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Motor trades and automotive fuel (45,4730)",16.8
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"All retail businesses, excluding motor trades and bars",11.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"All retail businesses, excluding motor trades",10.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"All retail businesses, excluding motor trades, automotive fuel and bars",12.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of food (4711,4721 to 4729)",-1.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",23.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-9.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of electrical goods (4741 to 4743,4754)",-9.0
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",350.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of books, newspapers and stationery (4761,4762)",-6.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",8.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,Motor trades (45),-0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",-2.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,Department stores (4719),19.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,Retail sale of automotive fuel (4730),7.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of hardware, paints and glass (4752)",2.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,Retail sale of furniture and lighting (4759),0.7
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,Bars (5630),249.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,All retail businesses,4.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Motor trades and automotive fuel (45,4730)",0.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"All retail businesses, excluding motor trades and bars",6.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"All retail businesses, excluding motor trades",10.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"All retail businesses, excluding motor trades, automotive fuel and bars",4.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of food (4711,4721 to 4729)",-1.6
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",8.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",3.2
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",-0.1
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of electrical goods (4741 to 4743,4754)",3.9
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",4.3
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",11.5
Retail Sales Index Value Adjusted Percentage Change over 1 month,2021 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",13.6
