,Statistic,Quarter,Eircode.Output,value
319,New Dwelling Completion,2012Q3,D24: Dublin 24,14
320,New Dwelling Completion,2012Q3,D6W: Dublin 6W,0
321,New Dwelling Completion,2012Q3,E21: Cahir,3
322,New Dwelling Completion,2012Q3,E25: Cashel,5
323,New Dwelling Completion,2012Q3,E32: Carrick-on-Suir,4
324,New Dwelling Completion,2012Q3,E34: Tipperary,7
325,New Dwelling Completion,2012Q3,E41: Thurles,14
326,New Dwelling Completion,2012Q3,E45: Nenagh,14
327,New Dwelling Completion,2012Q3,E53: Roscrea,5
328,New Dwelling Completion,2012Q3,E91: Clonmel,8
329,New Dwelling Completion,2012Q3,F12: Claremorris,9
330,New Dwelling Completion,2012Q3,F23: Castlebar,4
331,New Dwelling Completion,2012Q3,F26: Ballina,23
332,New Dwelling Completion,2012Q3,F28: Westport,17
333,New Dwelling Completion,2012Q3,F31: Ballinrobe,3
334,New Dwelling Completion,2012Q3,F35: Ballyhaunis,2
335,New Dwelling Completion,2012Q3,F42: Roscommon,9
336,New Dwelling Completion,2012Q3,F45: Castlerea,8
337,New Dwelling Completion,2012Q3,F52: Boyle,4
338,New Dwelling Completion,2012Q3,F56: Ballymote,2
339,New Dwelling Completion,2012Q3,F91: Sligo,16
340,New Dwelling Completion,2012Q3,F92: Letterkenny,31
341,New Dwelling Completion,2012Q3,F93: Lifford,30
342,New Dwelling Completion,2012Q3,F94: Donegal,31
343,New Dwelling Completion,2012Q3,H12: Cavan,8
344,New Dwelling Completion,2012Q3,H14: Belturbet,3
345,New Dwelling Completion,2012Q3,H16: Cootehill,4
346,New Dwelling Completion,2012Q3,H18: Monaghan,9
347,New Dwelling Completion,2012Q3,H23: Clones,0
348,New Dwelling Completion,2012Q3,H53: Ballinasloe,9
349,New Dwelling Completion,2012Q3,H54: Tuam,13
350,New Dwelling Completion,2012Q3,H62: Loughrea,7
351,New Dwelling Completion,2012Q3,H65: Athenry,4
352,New Dwelling Completion,2012Q3,H71: Clifden,3
353,New Dwelling Completion,2012Q3,H91: Galway,39
354,New Dwelling Completion,2012Q3,K32: Balbriggan,5
355,New Dwelling Completion,2012Q3,K34: Skerries,1
356,New Dwelling Completion,2012Q3,K36: Malahide,4
357,New Dwelling Completion,2012Q3,K45: Lusk,1
358,New Dwelling Completion,2012Q3,K56: Rush,3
359,New Dwelling Completion,2012Q3,K67: Swords,2
