,Statistic,Month,Type.of.Residential.Property,value
487,Residential Property Price Index,2007 January,Dun Laoghaire-Rathdown - houses,
488,Residential Property Price Index,2007 January,Fingal - houses,
489,Residential Property Price Index,2007 January,South Dublin - houses,
490,Residential Property Price Index,2007 January,National excluding Dublin - all residential properties,180.6
491,Residential Property Price Index,2007 January,National excluding Dublin - houses,177.6
492,Residential Property Price Index,2007 January,National excluding Dublin - apartments,235.6
493,Residential Property Price Index,2007 January,Border - houses,
494,Residential Property Price Index,2007 January,Midland - houses,
495,Residential Property Price Index,2007 January,West - houses,
496,Residential Property Price Index,2007 January,Mid-East - houses,
497,Residential Property Price Index,2007 January,Mid-West - houses,
498,Residential Property Price Index,2007 January,South-East - houses,
499,Residential Property Price Index,2007 January,South-West - houses,
500,Residential Property Price Index,2007 February,National - all residential properties,162.7
501,Residential Property Price Index,2007 February,National - houses,158.3
502,Residential Property Price Index,2007 February,National - apartments,192.3
503,Residential Property Price Index,2007 February,Dublin - all residential properties,160.0
504,Residential Property Price Index,2007 February,Dublin - houses,153.4
505,Residential Property Price Index,2007 February,Dublin - apartments,185.1
506,Residential Property Price Index,2007 February,Dublin City - houses,
507,Residential Property Price Index,2007 February,Dun Laoghaire-Rathdown - houses,
508,Residential Property Price Index,2007 February,Fingal - houses,
509,Residential Property Price Index,2007 February,South Dublin - houses,
510,Residential Property Price Index,2007 February,National excluding Dublin - all residential properties,181.4
511,Residential Property Price Index,2007 February,National excluding Dublin - houses,178.5
512,Residential Property Price Index,2007 February,National excluding Dublin - apartments,236.1
513,Residential Property Price Index,2007 February,Border - houses,
514,Residential Property Price Index,2007 February,Midland - houses,
515,Residential Property Price Index,2007 February,West - houses,
516,Residential Property Price Index,2007 February,Mid-East - houses,
517,Residential Property Price Index,2007 February,Mid-West - houses,
518,Residential Property Price Index,2007 February,South-East - houses,
519,Residential Property Price Index,2007 February,South-West - houses,
520,Residential Property Price Index,2007 March,National - all residential properties,162.9
521,Residential Property Price Index,2007 March,National - houses,158.9
522,Residential Property Price Index,2007 March,National - apartments,191.0
523,Residential Property Price Index,2007 March,Dublin - all residential properties,158.5
524,Residential Property Price Index,2007 March,Dublin - houses,152.8
525,Residential Property Price Index,2007 March,Dublin - apartments,181.7
526,Residential Property Price Index,2007 March,Dublin City - houses,
527,Residential Property Price Index,2007 March,Dun Laoghaire-Rathdown - houses,
528,Residential Property Price Index,2007 March,Fingal - houses,
529,Residential Property Price Index,2007 March,South Dublin - houses,
530,Residential Property Price Index,2007 March,National excluding Dublin - all residential properties,182.7
531,Residential Property Price Index,2007 March,National excluding Dublin - houses,179.8
532,Residential Property Price Index,2007 March,National excluding Dublin - apartments,236.8
533,Residential Property Price Index,2007 March,Border - houses,
534,Residential Property Price Index,2007 March,Midland - houses,
535,Residential Property Price Index,2007 March,West - houses,
536,Residential Property Price Index,2007 March,Mid-East - houses,
537,Residential Property Price Index,2007 March,Mid-West - houses,
538,Residential Property Price Index,2007 March,South-East - houses,
539,Residential Property Price Index,2007 March,South-West - houses,
540,Residential Property Price Index,2007 April,National - all residential properties,163.6
541,Residential Property Price Index,2007 April,National - houses,160.0
542,Residential Property Price Index,2007 April,National - apartments,189.4
543,Residential Property Price Index,2007 April,Dublin - all residential properties,158.8
544,Residential Property Price Index,2007 April,Dublin - houses,154.7
545,Residential Property Price Index,2007 April,Dublin - apartments,178.0
546,Residential Property Price Index,2007 April,Dublin City - houses,
547,Residential Property Price Index,2007 April,Dun Laoghaire-Rathdown - houses,
548,Residential Property Price Index,2007 April,Fingal - houses,
549,Residential Property Price Index,2007 April,South Dublin - houses,
550,Residential Property Price Index,2007 April,National excluding Dublin - all residential properties,183.6
551,Residential Property Price Index,2007 April,National excluding Dublin - houses,180.6
552,Residential Property Price Index,2007 April,National excluding Dublin - apartments,238.6
553,Residential Property Price Index,2007 April,Border - houses,
554,Residential Property Price Index,2007 April,Midland - houses,
555,Residential Property Price Index,2007 April,West - houses,
556,Residential Property Price Index,2007 April,Mid-East - houses,
557,Residential Property Price Index,2007 April,Mid-West - houses,
558,Residential Property Price Index,2007 April,South-East - houses,
559,Residential Property Price Index,2007 April,South-West - houses,
560,Residential Property Price Index,2007 May,National - all residential properties,163.1
561,Residential Property Price Index,2007 May,National - houses,159.2
562,Residential Property Price Index,2007 May,National - apartments,190.3
563,Residential Property Price Index,2007 May,Dublin - all residential properties,157.2
564,Residential Property Price Index,2007 May,Dublin - houses,151.7
565,Residential Property Price Index,2007 May,Dublin - apartments,179.6
566,Residential Property Price Index,2007 May,Dublin City - houses,
567,Residential Property Price Index,2007 May,Dun Laoghaire-Rathdown - houses,
568,Residential Property Price Index,2007 May,Fingal - houses,
569,Residential Property Price Index,2007 May,South Dublin - houses,
570,Residential Property Price Index,2007 May,National excluding Dublin - all residential properties,183.7
571,Residential Property Price Index,2007 May,National excluding Dublin - houses,180.7
572,Residential Property Price Index,2007 May,National excluding Dublin - apartments,239.4
573,Residential Property Price Index,2007 May,Border - houses,
574,Residential Property Price Index,2007 May,Midland - houses,
575,Residential Property Price Index,2007 May,West - houses,
576,Residential Property Price Index,2007 May,Mid-East - houses,
577,Residential Property Price Index,2007 May,Mid-West - houses,
578,Residential Property Price Index,2007 May,South-East - houses,
579,Residential Property Price Index,2007 May,South-West - houses,
580,Residential Property Price Index,2007 June,National - all residential properties,162.7
581,Residential Property Price Index,2007 June,National - houses,158.8
582,Residential Property Price Index,2007 June,National - apartments,189.7
583,Residential Property Price Index,2007 June,Dublin - all residential properties,157.6
584,Residential Property Price Index,2007 June,Dublin - houses,152.4
585,Residential Property Price Index,2007 June,Dublin - apartments,178.6
