,Statistic,Month,Type.of.Residential.Property,value
423,Residential Property Price Index,2006 October,Dublin - all residential properties,159.3
424,Residential Property Price Index,2006 October,Dublin - houses,154.2
425,Residential Property Price Index,2006 October,Dublin - apartments,179.6
426,Residential Property Price Index,2006 October,Dublin City - houses,
427,Residential Property Price Index,2006 October,Dun Laoghaire-Rathdown - houses,
428,Residential Property Price Index,2006 October,Fingal - houses,
429,Residential Property Price Index,2006 October,South Dublin - houses,
430,Residential Property Price Index,2006 October,National excluding Dublin - all residential properties,176.0
431,Residential Property Price Index,2006 October,National excluding Dublin - houses,172.8
432,Residential Property Price Index,2006 October,National excluding Dublin - apartments,233.5
433,Residential Property Price Index,2006 October,Border - houses,
434,Residential Property Price Index,2006 October,Midland - houses,
435,Residential Property Price Index,2006 October,West - houses,
436,Residential Property Price Index,2006 October,Mid-East - houses,
437,Residential Property Price Index,2006 October,Mid-West - houses,
438,Residential Property Price Index,2006 October,South-East - houses,
439,Residential Property Price Index,2006 October,South-West - houses,
440,Residential Property Price Index,2006 November,National - all residential properties,159.4
441,Residential Property Price Index,2006 November,National - houses,155.2
442,Residential Property Price Index,2006 November,National - apartments,187.8
443,Residential Property Price Index,2006 November,Dublin - all residential properties,158.7
444,Residential Property Price Index,2006 November,Dublin - houses,153.4
445,Residential Property Price Index,2006 November,Dublin - apartments,180.4
446,Residential Property Price Index,2006 November,Dublin City - houses,
447,Residential Property Price Index,2006 November,Dun Laoghaire-Rathdown - houses,
448,Residential Property Price Index,2006 November,Fingal - houses,
449,Residential Property Price Index,2006 November,South Dublin - houses,
450,Residential Property Price Index,2006 November,National excluding Dublin - all residential properties,176.3
451,Residential Property Price Index,2006 November,National excluding Dublin - houses,173.3
452,Residential Property Price Index,2006 November,National excluding Dublin - apartments,232.5
453,Residential Property Price Index,2006 November,Border - houses,
454,Residential Property Price Index,2006 November,Midland - houses,
455,Residential Property Price Index,2006 November,West - houses,
456,Residential Property Price Index,2006 November,Mid-East - houses,
457,Residential Property Price Index,2006 November,Mid-West - houses,
458,Residential Property Price Index,2006 November,South-East - houses,
459,Residential Property Price Index,2006 November,South-West - houses,
460,Residential Property Price Index,2006 December,National - all residential properties,160.6
461,Residential Property Price Index,2006 December,National - houses,156.5
462,Residential Property Price Index,2006 December,National - apartments,189.0
463,Residential Property Price Index,2006 December,Dublin - all residential properties,158.9
464,Residential Property Price Index,2006 December,Dublin - houses,153.4
465,Residential Property Price Index,2006 December,Dublin - apartments,181.3
466,Residential Property Price Index,2006 December,Dublin City - houses,
467,Residential Property Price Index,2006 December,Dun Laoghaire-Rathdown - houses,
468,Residential Property Price Index,2006 December,Fingal - houses,
469,Residential Property Price Index,2006 December,South Dublin - houses,
470,Residential Property Price Index,2006 December,National excluding Dublin - all residential properties,178.4
