Statistic,Quarter,NACE.Rev..2.Sector,value
Compensation of Employees at Constant Prices,2015Q4,"Arts, Entertainment and Other Services",666.8691377
Compensation of Employees at Constant Prices,2015Q4,All Sectors,25090.1858168
Compensation of Employees at Constant Prices,2016Q1,"Agriculture, Forestry and Fishing",298.5216365
Compensation of Employees at Constant Prices,2016Q1,Industry (excl. Construction),3627.0515082
Compensation of Employees at Constant Prices,2016Q1,Industry - of which Manufacturing,3373.1465618
Compensation of Employees at Constant Prices,2016Q1,Construction,1030.7568538
Compensation of Employees at Constant Prices,2016Q1,"Distribution, Transport, Hotels and Restaurants",5359.8403715
Compensation of Employees at Constant Prices,2016Q1,Information and Communication,2162.2217438
Compensation of Employees at Constant Prices,2016Q1,Financial and Insurance Activities,2036.2090198
Compensation of Employees at Constant Prices,2016Q1,Real Estate Activities,309.7126995
Compensation of Employees at Constant Prices,2016Q1,"Professional, Admin and Support Services",3705.0763215
Compensation of Employees at Constant Prices,2016Q1,"Public Admin, Education and Health",6938.3324479
Compensation of Employees at Constant Prices,2016Q1,"Arts, Entertainment and Other Services",719.0363428
Compensation of Employees at Constant Prices,2016Q1,All Sectors,26080.2137626
Compensation of Employees at Constant Prices,2016Q2,"Agriculture, Forestry and Fishing",362.8818017
Compensation of Employees at Constant Prices,2016Q2,Industry (excl. Construction),3749.3540252
Compensation of Employees at Constant Prices,2016Q2,Industry - of which Manufacturing,3551.5388663
Compensation of Employees at Constant Prices,2016Q2,Construction,1143.0301456
Compensation of Employees at Constant Prices,2016Q2,"Distribution, Transport, Hotels and Restaurants",5394.6605578
Compensation of Employees at Constant Prices,2016Q2,Information and Communication,2147.3293786
Compensation of Employees at Constant Prices,2016Q2,Financial and Insurance Activities,2142.2262782
Compensation of Employees at Constant Prices,2016Q2,Real Estate Activities,371.3381916
Compensation of Employees at Constant Prices,2016Q2,"Professional, Admin and Support Services",3824.7838941
Compensation of Employees at Constant Prices,2016Q2,"Public Admin, Education and Health",7209.0645877
Compensation of Employees at Constant Prices,2016Q2,"Arts, Entertainment and Other Services",730.402324
Compensation of Employees at Constant Prices,2016Q2,All Sectors,26945.1652519
Compensation of Employees at Constant Prices,2016Q3,"Agriculture, Forestry and Fishing",331.8451887
Compensation of Employees at Constant Prices,2016Q3,Industry (excl. Construction),3785.3256966
Compensation of Employees at Constant Prices,2016Q3,Industry - of which Manufacturing,3570.8796
Compensation of Employees at Constant Prices,2016Q3,Construction,1144.9565807
Compensation of Employees at Constant Prices,2016Q3,"Distribution, Transport, Hotels and Restaurants",5595.7110171
Compensation of Employees at Constant Prices,2016Q3,Information and Communication,2146.2677266
Compensation of Employees at Constant Prices,2016Q3,Financial and Insurance Activities,2041.3166481
Compensation of Employees at Constant Prices,2016Q3,Real Estate Activities,330.3208165
Compensation of Employees at Constant Prices,2016Q3,"Professional, Admin and Support Services",3884.0124476
Compensation of Employees at Constant Prices,2016Q3,"Public Admin, Education and Health",6282.0228203
Compensation of Employees at Constant Prices,2016Q3,"Arts, Entertainment and Other Services",722.7018475
Compensation of Employees at Constant Prices,2016Q3,All Sectors,26030.5536191
Compensation of Employees at Constant Prices,2016Q4,"Agriculture, Forestry and Fishing",305.2818371
Compensation of Employees at Constant Prices,2016Q4,Industry (excl. Construction),3639.6844924
Compensation of Employees at Constant Prices,2016Q4,Industry - of which Manufacturing,3469.3016793
Compensation of Employees at Constant Prices,2016Q4,Construction,1119.5264525
Compensation of Employees at Constant Prices,2016Q4,"Distribution, Transport, Hotels and Restaurants",5533.8617849
Compensation of Employees at Constant Prices,2016Q4,Information and Communication,2054.9748358
Compensation of Employees at Constant Prices,2016Q4,Financial and Insurance Activities,1986.992843
Compensation of Employees at Constant Prices,2016Q4,Real Estate Activities,339.6419327
Compensation of Employees at Constant Prices,2016Q4,"Professional, Admin and Support Services",3801.9289758
Compensation of Employees at Constant Prices,2016Q4,"Public Admin, Education and Health",7114.3180213
Compensation of Employees at Constant Prices,2016Q4,"Arts, Entertainment and Other Services",689.9745788
Compensation of Employees at Constant Prices,2016Q4,All Sectors,26471.7327797
Compensation of Employees at Constant Prices,2017Q1,"Agriculture, Forestry and Fishing",299.3654255
Compensation of Employees at Constant Prices,2017Q1,Industry (excl. Construction),3899.1671976
Compensation of Employees at Constant Prices,2017Q1,Industry - of which Manufacturing,3617.385831
Compensation of Employees at Constant Prices,2017Q1,Construction,1236.1521384
Compensation of Employees at Constant Prices,2017Q1,"Distribution, Transport, Hotels and Restaurants",5727.3102771
Compensation of Employees at Constant Prices,2017Q1,Information and Communication,2279.5905438
