Statistic,Quarter,NST.Group,value
Tonne-Kilometre,2013Q2,Chemicals and plastics,157
Tonne-Kilometre,2013Q2,Other non-metallic mineral products,179
Tonne-Kilometre,2013Q2,Metal products (except machinery and equipment),65
Tonne-Kilometre,2013Q2,Machinery and equipment,76
Tonne-Kilometre,2013Q2,Furniture and other manufactured goods,25
Tonne-Kilometre,2013Q2,Secondary raw materials and waste,55
Tonne-Kilometre,2013Q2,Other NST 2007 goods,442
Tonne-Kilometre,2013Q3,All NST 2007 goods,2342
Tonne-Kilometre,2013Q3,Products of agriculture forestry and fishing,264
Tonne-Kilometre,2013Q3,Coal and natural gas,18
Tonne-Kilometre,2013Q3,"Quarry products, metal ores and peat",205
Tonne-Kilometre,2013Q3,Foodstuffs,631
Tonne-Kilometre,2013Q3,Textiles and leather,40
Tonne-Kilometre,2013Q3,"Wood, pulp and paper",129
Tonne-Kilometre,2013Q3,Coke and refined petroleum products,213
Tonne-Kilometre,2013Q3,Chemicals and plastics,111
Tonne-Kilometre,2013Q3,Other non-metallic mineral products,163
Tonne-Kilometre,2013Q3,Metal products (except machinery and equipment),56
Tonne-Kilometre,2013Q3,Machinery and equipment,49
Tonne-Kilometre,2013Q3,Furniture and other manufactured goods,50
Tonne-Kilometre,2013Q3,Secondary raw materials and waste,64
Tonne-Kilometre,2013Q3,Other NST 2007 goods,350
Tonne-Kilometre,2013Q4,All NST 2007 goods,1950
Tonne-Kilometre,2013Q4,Products of agriculture forestry and fishing,288
Tonne-Kilometre,2013Q4,Coal and natural gas,19
Tonne-Kilometre,2013Q4,"Quarry products, metal ores and peat",190
Tonne-Kilometre,2013Q4,Foodstuffs,441
Tonne-Kilometre,2013Q4,Textiles and leather,21
Tonne-Kilometre,2013Q4,"Wood, pulp and paper",76
Tonne-Kilometre,2013Q4,Coke and refined petroleum products,185
Tonne-Kilometre,2013Q4,Chemicals and plastics,60
Tonne-Kilometre,2013Q4,Other non-metallic mineral products,126
Tonne-Kilometre,2013Q4,Metal products (except machinery and equipment),90
Tonne-Kilometre,2013Q4,Machinery and equipment,51
Tonne-Kilometre,2013Q4,Furniture and other manufactured goods,22
Tonne-Kilometre,2013Q4,Secondary raw materials and waste,68
Tonne-Kilometre,2013Q4,Other NST 2007 goods,313
Tonne-Kilometre,2014Q1,All NST 2007 goods,2676
Tonne-Kilometre,2014Q1,Products of agriculture forestry and fishing,271
Tonne-Kilometre,2014Q1,Coal and natural gas,13
Tonne-Kilometre,2014Q1,"Quarry products, metal ores and peat",215
Tonne-Kilometre,2014Q1,Foodstuffs,706
Tonne-Kilometre,2014Q1,Textiles and leather,45
Tonne-Kilometre,2014Q1,"Wood, pulp and paper",132
Tonne-Kilometre,2014Q1,Coke and refined petroleum products,225
Tonne-Kilometre,2014Q1,Chemicals and plastics,142
Tonne-Kilometre,2014Q1,Other non-metallic mineral products,145
Tonne-Kilometre,2014Q1,Metal products (except machinery and equipment),85
Tonne-Kilometre,2014Q1,Machinery and equipment,51
Tonne-Kilometre,2014Q1,Furniture and other manufactured goods,32
Tonne-Kilometre,2014Q1,Secondary raw materials and waste,75
Tonne-Kilometre,2014Q1,Other NST 2007 goods,540
Tonne-Kilometre,2014Q2,All NST 2007 goods,2482
Tonne-Kilometre,2014Q2,Products of agriculture forestry and fishing,345
Tonne-Kilometre,2014Q2,Coal and natural gas,9
Tonne-Kilometre,2014Q2,"Quarry products, metal ores and peat",209
Tonne-Kilometre,2014Q2,Foodstuffs,680
Tonne-Kilometre,2014Q2,Textiles and leather,16
Tonne-Kilometre,2014Q2,"Wood, pulp and paper",144
Tonne-Kilometre,2014Q2,Coke and refined petroleum products,144
Tonne-Kilometre,2014Q2,Chemicals and plastics,106
Tonne-Kilometre,2014Q2,Other non-metallic mineral products,133
Tonne-Kilometre,2014Q2,Metal products (except machinery and equipment),52
Tonne-Kilometre,2014Q2,Machinery and equipment,62
Tonne-Kilometre,2014Q2,Furniture and other manufactured goods,35
Tonne-Kilometre,2014Q2,Secondary raw materials and waste,79
Tonne-Kilometre,2014Q2,Other NST 2007 goods,468
Tonne-Kilometre,2014Q3,All NST 2007 goods,2414
Tonne-Kilometre,2014Q3,Products of agriculture forestry and fishing,289
Tonne-Kilometre,2014Q3,Coal and natural gas,12
Tonne-Kilometre,2014Q3,"Quarry products, metal ores and peat",234
Tonne-Kilometre,2014Q3,Foodstuffs,557
Tonne-Kilometre,2014Q3,Textiles and leather,23
Tonne-Kilometre,2014Q3,"Wood, pulp and paper",194
Tonne-Kilometre,2014Q3,Coke and refined petroleum products,260
Tonne-Kilometre,2014Q3,Chemicals and plastics,75
Tonne-Kilometre,2014Q3,Other non-metallic mineral products,142
Tonne-Kilometre,2014Q3,Metal products (except machinery and equipment),62
Tonne-Kilometre,2014Q3,Machinery and equipment,59
Tonne-Kilometre,2014Q3,Furniture and other manufactured goods,43
Tonne-Kilometre,2014Q3,Secondary raw materials and waste,69
Tonne-Kilometre,2014Q3,Other NST 2007 goods,395
Tonne-Kilometre,2014Q4,All NST 2007 goods,2200
Tonne-Kilometre,2014Q4,Products of agriculture forestry and fishing,199
Tonne-Kilometre,2014Q4,Coal and natural gas,11
Tonne-Kilometre,2014Q4,"Quarry products, metal ores and peat",204
Tonne-Kilometre,2014Q4,Foodstuffs,634
Tonne-Kilometre,2014Q4,Textiles and leather,24
