Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2011Q4,Scheme house,Wicklow County Council,17
New Dwelling Completion,2011Q4,Scheme house,Wexford County Council,6
New Dwelling Completion,2011Q4,Scheme house,Ireland,226
New Dwelling Completion,2011Q4,Apartment,Cork City Council,7
New Dwelling Completion,2011Q4,Apartment,Clare County Council,1
New Dwelling Completion,2011Q4,Apartment,Cavan County Council,0
New Dwelling Completion,2011Q4,Apartment,Cork County Council,5
New Dwelling Completion,2011Q4,Apartment,Carlow County Council,0
New Dwelling Completion,2011Q4,Apartment,Dublin City Council,75
New Dwelling Completion,2011Q4,Apartment,Dún Laoghaire Rathdown County Council,1
New Dwelling Completion,2011Q4,Apartment,Donegal County Council,6
New Dwelling Completion,2011Q4,Apartment,Fingal County Council,11
New Dwelling Completion,2011Q4,Apartment,Galway County Council,1
New Dwelling Completion,2011Q4,Apartment,Galway City Council,1
New Dwelling Completion,2011Q4,Apartment,Kildare County Council,1
New Dwelling Completion,2011Q4,Apartment,Kilkenny County Council,8
New Dwelling Completion,2011Q4,Apartment,Kerry County Council,6
New Dwelling Completion,2011Q4,Apartment,Longford County Council,0
New Dwelling Completion,2011Q4,Apartment,Louth County Council,2
New Dwelling Completion,2011Q4,Apartment,Limerick City & County Council,5
New Dwelling Completion,2011Q4,Apartment,Leitrim County Council,0
New Dwelling Completion,2011Q4,Apartment,Laois County Council,3
New Dwelling Completion,2011Q4,Apartment,Meath County Council,2
New Dwelling Completion,2011Q4,Apartment,Monaghan County Council,1
New Dwelling Completion,2011Q4,Apartment,Mayo County Council,0
New Dwelling Completion,2011Q4,Apartment,Offaly County Council,4
New Dwelling Completion,2011Q4,Apartment,Roscommon County Council,0
New Dwelling Completion,2011Q4,Apartment,South Dublin County Council,6
New Dwelling Completion,2011Q4,Apartment,Sligo County Council,0
New Dwelling Completion,2011Q4,Apartment,Tipperary County Council,0
New Dwelling Completion,2011Q4,Apartment,Waterford City & County Council,0
New Dwelling Completion,2011Q4,Apartment,Westmeath County Council,2
New Dwelling Completion,2011Q4,Apartment,Wicklow County Council,0
New Dwelling Completion,2011Q4,Apartment,Wexford County Council,0
New Dwelling Completion,2011Q4,Apartment,Ireland,148
New Dwelling Completion,2011Q4,All house types,Cork City Council,25
New Dwelling Completion,2011Q4,All house types,Clare County Council,57
New Dwelling Completion,2011Q4,All house types,Cavan County Council,37
New Dwelling Completion,2011Q4,All house types,Cork County Council,194
New Dwelling Completion,2011Q4,All house types,Carlow County Council,38
New Dwelling Completion,2011Q4,All house types,Dublin City Council,83
New Dwelling Completion,2011Q4,All house types,Dún Laoghaire Rathdown County Council,17
New Dwelling Completion,2011Q4,All house types,Donegal County Council,88
New Dwelling Completion,2011Q4,All house types,Fingal County Council,33
New Dwelling Completion,2011Q4,All house types,Galway County Council,114
New Dwelling Completion,2011Q4,All house types,Galway City Council,11
New Dwelling Completion,2011Q4,All house types,Kildare County Council,76
New Dwelling Completion,2011Q4,All house types,Kilkenny County Council,54
New Dwelling Completion,2011Q4,All house types,Kerry County Council,79
New Dwelling Completion,2011Q4,All house types,Longford County Council,13
New Dwelling Completion,2011Q4,All house types,Louth County Council,37
New Dwelling Completion,2011Q4,All house types,Limerick City & County Council,95
New Dwelling Completion,2011Q4,All house types,Leitrim County Council,16
New Dwelling Completion,2011Q4,All house types,Laois County Council,33
New Dwelling Completion,2011Q4,All house types,Meath County Council,68
New Dwelling Completion,2011Q4,All house types,Monaghan County Council,32
New Dwelling Completion,2011Q4,All house types,Mayo County Council,88
New Dwelling Completion,2011Q4,All house types,Offaly County Council,29
New Dwelling Completion,2011Q4,All house types,Roscommon County Council,31
New Dwelling Completion,2011Q4,All house types,South Dublin County Council,36
New Dwelling Completion,2011Q4,All house types,Sligo County Council,24
New Dwelling Completion,2011Q4,All house types,Tipperary County Council,68
New Dwelling Completion,2011Q4,All house types,Waterford City & County Council,35
New Dwelling Completion,2011Q4,All house types,Westmeath County Council,28
New Dwelling Completion,2011Q4,All house types,Wicklow County Council,47
New Dwelling Completion,2011Q4,All house types,Wexford County Council,55
New Dwelling Completion,2011Q4,All house types,Ireland,1641
New Dwelling Completion,2012Q1,Single house,Cork City Council,7
New Dwelling Completion,2012Q1,Single house,Clare County Council,33
New Dwelling Completion,2012Q1,Single house,Cavan County Council,19
New Dwelling Completion,2012Q1,Single house,Cork County Council,113
New Dwelling Completion,2012Q1,Single house,Carlow County Council,16
New Dwelling Completion,2012Q1,Single house,Dublin City Council,7
New Dwelling Completion,2012Q1,Single house,Dún Laoghaire Rathdown County Council,7
New Dwelling Completion,2012Q1,Single house,Donegal County Council,69
New Dwelling Completion,2012Q1,Single house,Fingal County Council,8
New Dwelling Completion,2012Q1,Single house,Galway County Council,66
New Dwelling Completion,2012Q1,Single house,Galway City Council,4
New Dwelling Completion,2012Q1,Single house,Kildare County Council,24
New Dwelling Completion,2012Q1,Single house,Kilkenny County Council,26
New Dwelling Completion,2012Q1,Single house,Kerry County Council,41
New Dwelling Completion,2012Q1,Single house,Longford County Council,7
New Dwelling Completion,2012Q1,Single house,Louth County Council,13
New Dwelling Completion,2012Q1,Single house,Limerick City & County Council,21
New Dwelling Completion,2012Q1,Single house,Leitrim County Council,15
New Dwelling Completion,2012Q1,Single house,Laois County Council,19
New Dwelling Completion,2012Q1,Single house,Meath County Council,35
New Dwelling Completion,2012Q1,Single house,Monaghan County Council,20
New Dwelling Completion,2012Q1,Single house,Mayo County Council,35
New Dwelling Completion,2012Q1,Single house,Offaly County Council,15
New Dwelling Completion,2012Q1,Single house,Roscommon County Council,17
New Dwelling Completion,2012Q1,Single house,South Dublin County Council,4
New Dwelling Completion,2012Q1,Single house,Sligo County Council,27
New Dwelling Completion,2012Q1,Single house,Tipperary County Council,31
New Dwelling Completion,2012Q1,Single house,Waterford City & County Council,11
New Dwelling Completion,2012Q1,Single house,Westmeath County Council,24
New Dwelling Completion,2012Q1,Single house,Wicklow County Council,18
New Dwelling Completion,2012Q1,Single house,Wexford County Council,45
New Dwelling Completion,2012Q1,Single house,Ireland,797
New Dwelling Completion,2012Q1,Scheme house,Cork City Council,13
New Dwelling Completion,2012Q1,Scheme house,Clare County Council,9
New Dwelling Completion,2012Q1,Scheme house,Cavan County Council,1
New Dwelling Completion,2012Q1,Scheme house,Cork County Council,9
New Dwelling Completion,2012Q1,Scheme house,Carlow County Council,1
New Dwelling Completion,2012Q1,Scheme house,Dublin City Council,3
New Dwelling Completion,2012Q1,Scheme house,Dún Laoghaire Rathdown County Council,6
New Dwelling Completion,2012Q1,Scheme house,Donegal County Council,35
New Dwelling Completion,2012Q1,Scheme house,Fingal County Council,4
New Dwelling Completion,2012Q1,Scheme house,Galway County Council,4
New Dwelling Completion,2012Q1,Scheme house,Galway City Council,0
New Dwelling Completion,2012Q1,Scheme house,Kildare County Council,19
New Dwelling Completion,2012Q1,Scheme house,Kilkenny County Council,0
New Dwelling Completion,2012Q1,Scheme house,Kerry County Council,4
New Dwelling Completion,2012Q1,Scheme house,Longford County Council,10
New Dwelling Completion,2012Q1,Scheme house,Louth County Council,5
New Dwelling Completion,2012Q1,Scheme house,Limerick City & County Council,6
New Dwelling Completion,2012Q1,Scheme house,Leitrim County Council,0
New Dwelling Completion,2012Q1,Scheme house,Laois County Council,4
New Dwelling Completion,2012Q1,Scheme house,Meath County Council,5
New Dwelling Completion,2012Q1,Scheme house,Monaghan County Council,21
New Dwelling Completion,2012Q1,Scheme house,Mayo County Council,6
New Dwelling Completion,2012Q1,Scheme house,Offaly County Council,0
New Dwelling Completion,2012Q1,Scheme house,Roscommon County Council,1
New Dwelling Completion,2012Q1,Scheme house,South Dublin County Council,7
New Dwelling Completion,2012Q1,Scheme house,Sligo County Council,17
New Dwelling Completion,2012Q1,Scheme house,Tipperary County Council,9
New Dwelling Completion,2012Q1,Scheme house,Waterford City & County Council,6
New Dwelling Completion,2012Q1,Scheme house,Westmeath County Council,0
New Dwelling Completion,2012Q1,Scheme house,Wicklow County Council,4
New Dwelling Completion,2012Q1,Scheme house,Wexford County Council,2
New Dwelling Completion,2012Q1,Scheme house,Ireland,211
New Dwelling Completion,2012Q1,Apartment,Cork City Council,0
New Dwelling Completion,2012Q1,Apartment,Clare County Council,2
New Dwelling Completion,2012Q1,Apartment,Cavan County Council,0
New Dwelling Completion,2012Q1,Apartment,Cork County Council,0
New Dwelling Completion,2012Q1,Apartment,Carlow County Council,0
New Dwelling Completion,2012Q1,Apartment,Dublin City Council,47
New Dwelling Completion,2012Q1,Apartment,Dún Laoghaire Rathdown County Council,0
New Dwelling Completion,2012Q1,Apartment,Donegal County Council,10
New Dwelling Completion,2012Q1,Apartment,Fingal County Council,17
New Dwelling Completion,2012Q1,Apartment,Galway County Council,7
New Dwelling Completion,2012Q1,Apartment,Galway City Council,2
New Dwelling Completion,2012Q1,Apartment,Kildare County Council,8
New Dwelling Completion,2012Q1,Apartment,Kilkenny County Council,0
New Dwelling Completion,2012Q1,Apartment,Kerry County Council,1
New Dwelling Completion,2012Q1,Apartment,Longford County Council,0
New Dwelling Completion,2012Q1,Apartment,Louth County Council,5
New Dwelling Completion,2012Q1,Apartment,Limerick City & County Council,0
New Dwelling Completion,2012Q1,Apartment,Leitrim County Council,0
New Dwelling Completion,2012Q1,Apartment,Laois County Council,1
New Dwelling Completion,2012Q1,Apartment,Meath County Council,1
New Dwelling Completion,2012Q1,Apartment,Monaghan County Council,1
New Dwelling Completion,2012Q1,Apartment,Mayo County Council,0
New Dwelling Completion,2012Q1,Apartment,Offaly County Council,0
New Dwelling Completion,2012Q1,Apartment,Roscommon County Council,1
New Dwelling Completion,2012Q1,Apartment,South Dublin County Council,0
New Dwelling Completion,2012Q1,Apartment,Sligo County Council,18
New Dwelling Completion,2012Q1,Apartment,Tipperary County Council,0
New Dwelling Completion,2012Q1,Apartment,Waterford City & County Council,1
New Dwelling Completion,2012Q1,Apartment,Westmeath County Council,0
New Dwelling Completion,2012Q1,Apartment,Wicklow County Council,1
New Dwelling Completion,2012Q1,Apartment,Wexford County Council,0
New Dwelling Completion,2012Q1,Apartment,Ireland,123
New Dwelling Completion,2012Q1,All house types,Cork City Council,20
New Dwelling Completion,2012Q1,All house types,Clare County Council,44
New Dwelling Completion,2012Q1,All house types,Cavan County Council,20
New Dwelling Completion,2012Q1,All house types,Cork County Council,122
New Dwelling Completion,2012Q1,All house types,Carlow County Council,17
New Dwelling Completion,2012Q1,All house types,Dublin City Council,57
New Dwelling Completion,2012Q1,All house types,Dún Laoghaire Rathdown County Council,13
New Dwelling Completion,2012Q1,All house types,Donegal County Council,114
New Dwelling Completion,2012Q1,All house types,Fingal County Council,29
New Dwelling Completion,2012Q1,All house types,Galway County Council,77
New Dwelling Completion,2012Q1,All house types,Galway City Council,6
New Dwelling Completion,2012Q1,All house types,Kildare County Council,51
New Dwelling Completion,2012Q1,All house types,Kilkenny County Council,26
New Dwelling Completion,2012Q1,All house types,Kerry County Council,46
New Dwelling Completion,2012Q1,All house types,Longford County Council,17
New Dwelling Completion,2012Q1,All house types,Louth County Council,23
New Dwelling Completion,2012Q1,All house types,Limerick City & County Council,27
New Dwelling Completion,2012Q1,All house types,Leitrim County Council,15
New Dwelling Completion,2012Q1,All house types,Laois County Council,24
New Dwelling Completion,2012Q1,All house types,Meath County Council,41
New Dwelling Completion,2012Q1,All house types,Monaghan County Council,42
New Dwelling Completion,2012Q1,All house types,Mayo County Council,41
New Dwelling Completion,2012Q1,All house types,Offaly County Council,15
New Dwelling Completion,2012Q1,All house types,Roscommon County Council,19
New Dwelling Completion,2012Q1,All house types,South Dublin County Council,11
New Dwelling Completion,2012Q1,All house types,Sligo County Council,62
New Dwelling Completion,2012Q1,All house types,Tipperary County Council,40
New Dwelling Completion,2012Q1,All house types,Waterford City & County Council,18
New Dwelling Completion,2012Q1,All house types,Westmeath County Council,24
New Dwelling Completion,2012Q1,All house types,Wicklow County Council,23
New Dwelling Completion,2012Q1,All house types,Wexford County Council,47
New Dwelling Completion,2012Q1,All house types,Ireland,1131
New Dwelling Completion,2012Q2,Single house,Cork City Council,9
New Dwelling Completion,2012Q2,Single house,Clare County Council,38
New Dwelling Completion,2012Q2,Single house,Cavan County Council,22
New Dwelling Completion,2012Q2,Single house,Cork County Council,103
New Dwelling Completion,2012Q2,Single house,Carlow County Council,9
New Dwelling Completion,2012Q2,Single house,Dublin City Council,11
New Dwelling Completion,2012Q2,Single house,Dún Laoghaire Rathdown County Council,8
