Statistic,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1998 August,New Tractors,164.0
Vehicles Licensed for the First Time,1998 August,New Motor Cycles,247.0
Vehicles Licensed for the First Time,1998 August,New Exempt Vehicles,211.0
Vehicles Licensed for the First Time,1998 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",193.0
Vehicles Licensed for the First Time,1998 August,Secondhand Vehicles,4382.0
Vehicles Licensed for the First Time,1998 August,Secondhand Private Cars,3371.0
Vehicles Licensed for the First Time,1998 August,Secondhand Goods Vehicles,370.0
Vehicles Licensed for the First Time,1998 August,Secondhand Tractors,231.0
Vehicles Licensed for the First Time,1998 August,Secondhand Other Vehicles,182.0
Vehicles Licensed for the First Time,1998 August,Secondhand Motor Cycles,228.0
Vehicles Licensed for the First Time,1998 September,All Vehicles,13502.0
Vehicles Licensed for the First Time,1998 September,New Vehicles,9168.0
Vehicles Licensed for the First Time,1998 September,New Private Cars,6676.0
Vehicles Licensed for the First Time,1998 September,New Goods Vehicles,1690.0
Vehicles Licensed for the First Time,1998 September,New Tractors,160.0
Vehicles Licensed for the First Time,1998 September,New Motor Cycles,243.0
Vehicles Licensed for the First Time,1998 September,New Exempt Vehicles,219.0
Vehicles Licensed for the First Time,1998 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",180.0
Vehicles Licensed for the First Time,1998 September,Secondhand Vehicles,4334.0
Vehicles Licensed for the First Time,1998 September,Secondhand Private Cars,3233.0
Vehicles Licensed for the First Time,1998 September,Secondhand Goods Vehicles,517.0
Vehicles Licensed for the First Time,1998 September,Secondhand Tractors,199.0
Vehicles Licensed for the First Time,1998 September,Secondhand Other Vehicles,208.0
Vehicles Licensed for the First Time,1998 September,Secondhand Motor Cycles,177.0
Vehicles Licensed for the First Time,1998 October,All Vehicles,13626.0
Vehicles Licensed for the First Time,1998 October,New Vehicles,8865.0
Vehicles Licensed for the First Time,1998 October,New Private Cars,6511.0
Vehicles Licensed for the First Time,1998 October,New Goods Vehicles,1602.0
Vehicles Licensed for the First Time,1998 October,New Tractors,177.0
Vehicles Licensed for the First Time,1998 October,New Motor Cycles,242.0
Vehicles Licensed for the First Time,1998 October,New Exempt Vehicles,162.0
Vehicles Licensed for the First Time,1998 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",171.0
Vehicles Licensed for the First Time,1998 October,Secondhand Vehicles,4761.0
