Statistic,Quarter,Sector,value
GVA at Current Basic Prices,2018Q2,Foreign-owned multinational enterprise dominated,30715
GVA at Current Basic Prices,2018Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,44778
GVA at Current Basic Prices,2018Q3,All sectors,80250
GVA at Current Basic Prices,2018Q3,Foreign-owned multinational enterprise dominated,34191
GVA at Current Basic Prices,2018Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,46059
GVA at Current Basic Prices,2018Q4,All sectors,84169
GVA at Current Basic Prices,2018Q4,Foreign-owned multinational enterprise dominated,36685
GVA at Current Basic Prices,2018Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,47484
GVA at Current Basic Prices,2019Q1,All sectors,81427
GVA at Current Basic Prices,2019Q1,Foreign-owned multinational enterprise dominated,35748
GVA at Current Basic Prices,2019Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,45678
GVA at Current Basic Prices,2019Q2,All sectors,82277
GVA at Current Basic Prices,2019Q2,Foreign-owned multinational enterprise dominated,35626
GVA at Current Basic Prices,2019Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,46651
GVA at Current Basic Prices,2019Q3,All sectors,86682
GVA at Current Basic Prices,2019Q3,Foreign-owned multinational enterprise dominated,38305
GVA at Current Basic Prices,2019Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,48378
GVA at Current Basic Prices,2019Q4,All sectors,92564
GVA at Current Basic Prices,2019Q4,Foreign-owned multinational enterprise dominated,42278
GVA at Current Basic Prices,2019Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,50286
GVA at Current Basic Prices,2020Q1,All sectors,91489
GVA at Current Basic Prices,2020Q1,Foreign-owned multinational enterprise dominated,43572
GVA at Current Basic Prices,2020Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,47917
GVA at Current Basic Prices,2020Q2,All sectors,81976
GVA at Current Basic Prices,2020Q2,Foreign-owned multinational enterprise dominated,40536
GVA at Current Basic Prices,2020Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,41440
GVA at Current Basic Prices,2020Q3,All sectors,93906
GVA at Current Basic Prices,2020Q3,Foreign-owned multinational enterprise dominated,46752
GVA at Current Basic Prices,2020Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,47154
GVA at Current Basic Prices,2020Q4,All sectors,92688
GVA at Current Basic Prices,2020Q4,Foreign-owned multinational enterprise dominated,43690
GVA at Current Basic Prices,2020Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,48997
GVA at Current Basic Prices,2021Q1,All sectors,101071
GVA at Current Basic Prices,2021Q1,Foreign-owned multinational enterprise dominated,53624
GVA at Current Basic Prices,2021Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,47447
GVA at Current Basic Prices,2021Q2,All sectors,100670
GVA at Current Basic Prices,2021Q2,Foreign-owned multinational enterprise dominated,50468
GVA at Current Basic Prices,2021Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,50202
GVA at Current Basic Prices,2021Q3,All sectors,110575
GVA at Current Basic Prices,2021Q3,Foreign-owned multinational enterprise dominated,57710
GVA at Current Basic Prices,2021Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,52865
GVA at Current Basic Prices,2021Q4,All sectors,111926
GVA at Current Basic Prices,2021Q4,Foreign-owned multinational enterprise dominated,56130
GVA at Current Basic Prices,2021Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,55795
GVA at Current Basic Prices,2022Q1,All sectors,115578
GVA at Current Basic Prices,2022Q1,Foreign-owned multinational enterprise dominated,60954
GVA at Current Basic Prices,2022Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,54624
GVA at Current Basic Prices,2022Q2,All sectors,118895
GVA at Current Basic Prices,2022Q2,Foreign-owned multinational enterprise dominated,60483
GVA at Current Basic Prices,2022Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,58412
GVA at Current Basic Prices,2022Q3,All sectors,131401
GVA at Current Basic Prices,2022Q3,Foreign-owned multinational enterprise dominated,71133
GVA at Current Basic Prices,2022Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,60268
GVA at Current Basic Prices,2022Q4,All sectors,131656
GVA at Current Basic Prices,2022Q4,Foreign-owned multinational enterprise dominated,68728
GVA at Current Basic Prices,2022Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,62928
GVA at Current Basic Prices,2023Q1,All sectors,119023
GVA at Current Basic Prices,2023Q1,Foreign-owned multinational enterprise dominated,56587
GVA at Current Basic Prices,2023Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,62436
GVA at Current Basic Prices,2023Q2,All sectors,121300
GVA at Current Basic Prices,2023Q2,Foreign-owned multinational enterprise dominated,55962
GVA at Current Basic Prices,2023Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,65338
GVA at Current Basic Prices,2023Q3,All sectors,123010
GVA at Current Basic Prices,2023Q3,Foreign-owned multinational enterprise dominated,57385
GVA at Current Basic Prices,2023Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,65625
GVA at Current Basic Prices,2023Q4,All sectors,120856
GVA at Current Basic Prices,2023Q4,Foreign-owned multinational enterprise dominated,53919
GVA at Current Basic Prices,2023Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,66937
GVA at Current Basic Prices,2024Q1,All sectors,117404
GVA at Current Basic Prices,2024Q1,Foreign-owned multinational enterprise dominated,51213
GVA at Current Basic Prices,2024Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,66191
GVA at Current Basic Prices,2024Q2,All sectors,116711
GVA at Current Basic Prices,2024Q2,Foreign-owned multinational enterprise dominated,49210
GVA at Current Basic Prices,2024Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,67500
GVA at Constant Basic Prices,1995Q1,All sectors,26590
GVA at Constant Basic Prices,1995Q1,Foreign-owned multinational enterprise dominated,3858
